MeetID,MeetPath,Federation,Date,MeetCountry,MeetState,MeetTown,MeetName
4615,rps/1405,RPS,2014-02-08,USA,PA,Lancaster,2014 Barno-Newman Classic
4616,rps/1406,RPS,2014-02-15,USA,NJ,Egg Harbor Township,MHP Jersey Strong Sandy Relief Push-Pull
4617,rps/1407,RPS,2014-02-23,USA,NY,Merrick,2014 Dominion
4618,rps/1408,RPS,2014-03-08,USA,PA,Fairless Hills,5th Annual Bristol's Big Bench Competition
4619,rps/1409,RPS,2014-03-22,USA,OH,Columbus,LexenXtreme Raw Regalia
4620,rps/1410,RPS,2014-03-29,USA,RI,Johnston,2014 New England Revolution
4621,rps/1411,RPS,2014-04-12,USA,PA,York,16th Annual PowerPalooza
4622,rps/1412,RPS,2014-04-19,USA,NH,New Market,2014 New Hampshire & Vermont State Championships
4623,rps/1413,RPS,2014-04-26,USA,NY,Rochester,2014 RPS Spring Supremacy
4624,rps/1414,RPS,2014-04-26,USA,OH,Cincinnati,2014 Cincy Push-Pull
4625,rps/1415,RPS,2014-05-03,USA,MD,Gambrills,2014 Mid-Atlantic State Championships and Military Nationals
4626,rps/1416,RPS,2014-05-17,USA,NJ,Pitman,2014 RPS South Jersey Rumble
4627,rps/1417,RPS,2014-05-31,USA,FL,Fort Myers,2014 Redemption
4628,rps/1418,RPS,2014-06-06,USA,OH,Columbus,LexenXtreme Summer Slam & RPS Ohio State Championships
4629,rps/1419,RPS,2014-06-07,USA,PA,Bristol,Philly Push-Pull
4630,rps/1420,RPS,2014-04-12,Ukraine,,Simferopol,7th Mayor's Simferopol BP Cup
4631,rps/1421,RPS,2014-05-05,Ukraine,,Kiev,2014 RPS European Championships
4632,rps/1422,RPS,2014-06-14,USA,NC,Cornelius,Back Yard Bash North Carolina
4633,rps/1423,RPS,2014-06-28,USA,CT,Hartford,2014 Europa Connecticut State Championships
4634,rps/1424,RPS,2014-07-12,USA,NY,Merrick,Heatwave 2
4635,rps/1425,RPS,2014-07-19,USA,OH,Grove City,LexenXtreme Powerlifting Celebration Bash
4636,rps/1426,RPS,2014-07-04,Russia,,Gurzuf,8th Tavrika Cup
4637,rps/1427,RPS,2014-07-26,USA,PA,Lancaster,2014 RPS Pennsylvania State Championships
4638,rps/1428,RPS,2014-08-09,USA,NY,Rochester,2014 RPS New York State Championships
4639,rps/1429,RPS,2014-08-16,USA,PA,Lancaster,2014 Raw Dawg National Championships
4640,rps/1430,RPS,2014-08-23,USA,OH,Grove City,2014 LexenXtreme Dog Days
4641,rps/1431,RPS,2014-08-24,USA,MA,Lakeville,Southern Mass Blast Push-Pull
4642,rps/1432,RPS,2014-08-30,Canada,ON,Cornwall,2014 Great White North Invasion
4643,rps/1433,RPS,2014-09-06,USA,VT,Fair Haven,2014 Dennis Hayward Memorial Fall Classic
4644,rps/1434,RPS,2014-09-13,USA,NJ,Newark,2014 Supreme Iron Warrior
4645,rps/1435,RPS,2014-09-20,USA,OH,Cincinnati,Cincy Fall Throwdown
4646,rps/1436,RPS,2014-09-27,USA,PA,Bloomsburg,2014 Campus Chaos
4647,rps/1437,RPS,2014-09-27,USA,FL,Fort Myers,2014 South Florida Conquest Push-Pull
4648,rps/1438,RPS,2014-10-11,USA,MA,Everett,18th Annual RPS Power Challenge Boston
4649,rps/1439,RPS,2014-10-18,USA,NY,Gardiner,2014 RPS Annihilation
4650,rps/1440,RPS,2014-10-25,USA,OH,Columbus,2014 LexenXtreme Fall Classic
4651,rps/1441,RPS,2014-10-25,USA,FL,Davie,2014 RPS Honor & Glory
4652,rps/1442,RPS,2014-11-01,USA,NJ,Pitman,Autumn Apocalypse
4653,rps/1443,RPS,2014-11-15,USA,NY,Merrick,2014 RPS Insurrextion III
4654,rps/1444,RPS,2014-11-22,USA,MA,Nashua,Gate City Gauntlet
4655,rps/1445,RPS,2014-12-05,Russia,,Berdsk,Steel Arena 4
4656,rps/1446,RPS,2014-12-06,USA,VT,Fair Haven,2014 RPS Power Wars
4657,rps/1447,RPS,2014-12-06,USA,PA,Hellertown,10th Annual RPS Christmas Carnage
4658,rps/1448,RPS,2014-12-07,USA,OH,Columbus,2014 LexenXtreme RPS XXX
4659,rps/1449,RPS,2014-12-13,USA,NC,Cornelius,Havoc for the Holidays
4660,rps/1450,RPS,2014-12-13,USA,MA,Easthampton,2014 Lump of Coal Push-Pull
4661,rps/1501,RPS,2015-01-24,USA,NJ,Newark,MHP North American & New Jersey Championships
4662,rps/1502,RPS,2015-01-31,USA,KY,Newport,2015 RPS Northern KY Winter Warfare
4663,rps/1503,RPS,2015-02-07,USA,VT,Fair Haven,2015 RPS Winter Classic
4664,rps/1504,RPS,2015-02-21,USA,PA,Lancaster,2015 RPS Barno-Newman and Master & Police Nationals
